,CustomerID,Entropy,imax,iu,i
0,12347,-14642.853339990083,319,103,2458
1,12348,-15464.124168862689,1254,22,2341
2,12349,-4060.8034862129143,630,72,630
3,12350,-1040.7911345613838,197,17,197
4,12352,-2359.276847130088,98,58,533
5,12353,-59.914645471079815,20,4,20
6,12354,-3324.624813469469,530,58,530
7,12355,-1315.353341602078,240,13,240
8,12356,-10833.682929680082,1216,53,1591
9,12357,-21403.938936959104,2708,131,2708
10,12358,-1200.104435115898,100,13,248
11,12359,-9828.373828531592,144,214,1609
12,12360,-6993.508736148764,434,105,1165
13,12361,-410.4882150930333,91,10,91
14,12362,-12121.082732221103,229,201,2229
15,12363,-2200.3893142804345,282,23,408
16,12364,-9068.077036650542,555,70,1506
17,12365,-891.5194458481158,173,21,173
18,12367,-891.5194458481158,173,11,173
19,12370,-15652.229707939849,916,143,2352
20,12371,-3725.060821775723,582,63,591
21,12372,-4458.653311736739,224,34,794
22,12373,-1040.7911345613838,197,14,197
23,12374,-1995.5052720754109,342,33,342
24,12375,-799.0222214159821,87,14,178
25,12377,-5849.600325540099,604,72,944
26,12378,-19816.179914828343,2529,219,2529
27,12379,-2163.7525393726314,211,39,407
28,12380,-6364.9387621503465,293,77,1127
29,12381,-4745.936081691542,568,70,808
30,12383,-9564.694020295705,754,84,1532
31,12384,-522.0508492078146,62,26,126
32,12386,-1840.1488063799789,214,10,354
33,12388,-8385.130975808344,204,57,1462
34,12390,-2070.863224097454,353,32,353
35,12391,-1664.290574442001,293,92,293
36,12393,-4431.242261280238,238,47,816
37,12394,-5060.091487647444,182,26,819
38,12395,-11467.31244114283,528,91,2118
39,12397,-8152.289518228961,704,110,1263
40,12398,-10092.466032300734,1394,85,1394
41,12399,-6836.080491398206,364,47,1178
42,12401,-26.376848000782076,11,5,11
43,12402,-427.0697095333804,94,11,94
44,12403,-438.17742638091227,96,5,96
45,12405,-5787.696296238298,857,54,857
46,12406,-12399.686903618256,793,92,1818
47,12407,-8118.974593391821,215,57,1416
48,12408,-8173.601038180896,330,81,1409
49,12409,-44051.33251059885,3142,91,5551
50,12410,-1095.2163460789216,203,26,211
51,12412,-4677.825111155034,358,43,829
