,CustomerID,Entropy,imax,iu,i
0,12346.0,-832300.5609508436,74215,1,0
1,12347.0,-14642.853339990083,319,103,2458
2,12348.0,-15464.124168862689,1254,22,2341
3,12349.0,-4068.2499992635053,631,73,631
4,12350.0,-1040.7911345613838,197,17,197
5,12352.0,-2362.572683996092,98,59,470
6,12353.0,-59.914645471079815,20,4,20
7,12354.0,-3324.624813469469,530,58,530
8,12355.0,-1315.353341602078,240,13,240
9,12356.0,-10833.682929680082,1216,53,1591
10,12357.0,-21403.938936959104,2708,131,2708
11,12358.0,-1200.104435115898,100,13,248
12,12359.0,-9925.584249064777,144,214,1612
13,12360.0,-6993.508736148764,434,105,1165
14,12361.0,-410.4882150930333,91,10,91
15,12362.0,-12121.082732221103,229,201,2212
16,12363.0,-2200.3893142804345,282,23,408
17,12364.0,-9068.077036650542,555,70,1506
18,12365.0,-891.5194458481158,173,22,173
19,12367.0,-891.5194458481158,173,11,173
20,12370.0,-15660.050269957525,917,143,2353
21,12371.0,-3725.060821775723,582,63,591
22,12372.0,-4458.653311736739,224,34,794
23,12373.0,-1040.7911345613838,197,14,197
24,12374.0,-1995.5052720754109,342,33,342
25,12375.0,-799.0222214159821,87,14,177
26,12377.0,-5849.600325540099,604,72,944
27,12378.0,-19816.179914828343,2529,219,2529
28,12379.0,-2163.7525393726314,211,39,406
29,12380.0,-6364.9387621503465,293,77,1126
30,12381.0,-4745.936081691542,568,70,783
31,12383.0,-9564.694020295705,754,84,1529
32,12384.0,-522.0508492078146,62,26,121
33,12386.0,-1840.1488063799789,214,10,354
34,12388.0,-8385.130975808344,204,57,1462
35,12390.0,-2070.863224097454,353,32,353
36,12391.0,-1711.1347423968602,300,92,300
37,12393.0,-4431.242261280238,238,47,816
38,12394.0,-5060.091487647444,182,26,819
39,12395.0,-11467.31244114283,528,91,2113
40,12397.0,-8152.289518228961,704,110,1263
41,12398.0,-10092.466032300734,1394,85,1394
42,12399.0,-6836.080491398206,364,47,1178
43,12401.0,-26.376848000782076,11,5,11
44,12402.0,-427.0697095333804,94,11,94
45,12403.0,-438.17742638091227,96,5,95
46,12405.0,-5787.696296238298,857,54,857
47,12406.0,-12399.686903618256,793,92,1809
48,12407.0,-8118.974593391821,215,57,1416
49,12408.0,-8173.601038180896,330,81,1399
50,12409.0,-44051.33251059885,3142,91,5543
51,12410.0,-1095.2163460789216,203,26,209
52,12412.0,-4677.825111155034,358,43,829
53,12413.0,-1371.1545103104104,180,29,282
54,12414.0,-1412.8033401333794,145,16,300
55,12415.0,-696673.6805782219,4662,444,77242
56,12417.0,-8158.348557325562,60,158,1539
57,12418.0,-2445.586966475136,407,34,407
58,12420.0,-2016.0228238758193,345,29,345
59,12421.0,-2339.0060788626806,104,33,483
60,12422.0,-1799.3833472267784,113,39,370
61,12423.0,-6932.366615984822,188,97,1327
62,12424.0,-4449.382256907629,532,30,740
63,12425.0,-3078.4616596555643,496,36,496
64,12426.0,-1432.6635729097773,258,30,258
65,12427.0,-2866.954513449338,79,26,236
66,12428.0,-22712.47487878179,852,258,3503
67,12429.0,-9366.422385473137,454,82,1557
68,12430.0,-557.1743503713375,117,11,117
69,12431.0,-15736.309776540646,107,163,2868
70,12432.0,-11754.935625099251,1090,107,1801
71,12433.0,-83444.34456849968,1852,219,11071
72,12434.0,-2160.0448798018315,77,49,373
73,12435.0,-14272.72390013255,879,31,2055
74,12436.0,-1129.24206616345,211,16,211
75,12437.0,-15576.674336946995,134,119,2918
76,12438.0,-7528.571712393541,586,84,1180
77,12441.0,-580.2906560172057,121,11,121
78,12442.0,-947.1292170479767,182,12,182
79,12444.0,-6620.5180830152585,582,138,1155
80,12445.0,-255.88233187279567,62,4,62
81,12446.0,-2063.9981738105303,352,58,352
82,12447.0,-996.9345737104924,190,26,190
83,12448.0,-1334.8139307317533,243,22,243
84,12449.0,-9301.442776424943,390,118,1553
85,12450.0,-532.337034670038,64,7,128
86,12451.0,-48680.85467465811,2334,265,6455
87,12452.0,-954.7222603311,183,21,183
88,12453.0,-2913.252118756684,473,43,473
89,12454.0,-6955.219774763643,1006,15,0
90,12455.0,-14111.81820048211,1522,85,2089
91,12456.0,-10303.202878994354,445,105,1616
92,12457.0,-4433.275519777027,197,53,695
93,12458.0,-2801.0382349156052,270,35,506
94,12461.0,-1599.0649835667186,282,35,287
95,12462.0,-2998.1171671427237,287,51,514
96,12463.0,-4091.481854703714,189,66,757
97,12464.0,-304.29967065156416,21,6,112
98,12465.0,-2636.7382792370627,294,46,475
99,12468.0,-1924.086548891872,127,36,364
100,12471.0,-49894.22468036302,1075,152,7965
101,12472.0,-27020.832519271575,972,226,4020
102,12473.0,-16822.35095557577,557,140,2363
103,12474.0,-28550.26688915676,11,253,4764
104,12475.0,-3361.0127095893636,535,36,535
105,12476.0,-14035.872601439536,2,177,2337
106,12477.0,-23793.24534029344,639,192,3620
107,12478.0,-1289.464305986044,236,36,236
108,12479.0,-2291.9986837007973,385,31,351
109,12480.0,-10389.473009080033,367,129,1707
110,12481.0,-19774.084633185303,85,150,3290
111,12483.0,-5746.94600368883,293,46,1097
112,12484.0,-13882.991208373347,630,256,2185
113,12488.0,-2783.5096820812846,169,46,529
114,12489.0,-488.66583676653994,105,15,105
115,12490.0,-17882.273399696605,548,131,3064
116,12491.0,-1445.7772240640372,260,25,260
117,12492.0,-884.0520245280183,69,19,192
118,12493.0,-962.7213353543542,88,20,206
119,12494.0,-3486.362683869015,9,63,690
120,12497.0,-8799.869648589798,1236,14,1236
121,12498.0,-667.8787515417044,69,21,159
122,12500.0,-15507.906847586517,243,34,2671
123,12501.0,-13347.631817649979,1783,149,1722
124,12502.0,-4217.242633434988,171,102,820
125,12503.0,0.0,-1,1,-1
126,12504.0,-391.8298431889531,87,6,51
127,12505.0,0.0,-1,1,-1
128,12506.0,-72.11636696637044,23,23,23
129,12507.0,-5604.0146231695535,219,19,894
130,12508.0,-1370.7341625626937,203,57,272
131,12509.0,-220.40332518778592,55,7,55
132,12510.0,-1911.54716078801,294,29,353
133,12512.0,-438.16348214653095,95,31,99
134,12513.0,-2834.630979679763,462,35,456
135,12514.0,-2678.180879841415,440,51,440
136,12515.0,-638.6508493393508,131,16,131
137,12516.0,-5340.647637345288,345,20,875
138,12517.0,-8032.615682352567,420,232,1348
139,12518.0,-7386.247928717516,187,84,1318
140,12519.0,-953.3359659699801,183,17,183
141,12520.0,-8403.529611369908,618,121,1430
142,12521.0,-1771.6024545614034,309,38,309
143,12522.0,-898.2509727058721,129,11,194
144,12523.0,-3872.1823734200625,43,84,861
145,12524.0,-23625.386282653064,392,113,3699
146,12526.0,-3451.378889233715,318,64,632
147,12527.0,-1073.2093376909102,113,18,234
148,12528.0,-3775.7999786818864,281,50,750
149,12530.0,-5026.208773653197,95,51,900
150,12531.0,-171.29981203966437,45,17,45
151,12532.0,-769.6570019730426,153,16,153
152,12534.0,-4217.509777077778,651,63,651
153,12535.0,-1028.6838482724766,115,28,219
154,12536.0,-22233.586702503566,2801,260,2652
155,12538.0,-1003.1842247569064,191,21,191
156,12539.0,-12983.938096131924,643,158,2066
157,12540.0,-40831.90565124447,300,278,6677
158,12541.0,-3721.9232939297262,288,46,680
159,12544.0,-668.1210644601031,136,19,132
160,12545.0,-2939.0463188355407,346,42,523
161,12546.0,-3727.4645471347158,475,59,617
162,12547.0,-591.8288147846816,109,7,134
163,12548.0,-190.6991946074207,49,5,49
164,12550.0,-3609.6679670178823,569,57,569
165,12551.0,-460.51701859880916,100,10,100
166,12552.0,-380.9211936676812,85,20,88
167,12553.0,-10693.687886132617,446,95,1924
168,12556.0,-1858.0290842965203,166,100,358
169,12557.0,-30136.2357715177,400,15,4384
170,12558.0,-1034.5104732091813,196,11,0
171,12559.0,-1489.8256009315303,247,21,281
172,12560.0,-7100.895276209071,812,92,1078
173,12561.0,-916.1785026655677,177,16,177
174,12562.0,-9885.70410387306,183,99,1779
175,12564.0,-650.4164340534933,133,21,133
176,12565.0,-350.5621307739105,80,9,75
177,12566.0,-1478.628403886349,265,19,264
178,12567.0,-26602.71914407147,611,323,4089
179,12569.0,-7897.284041027286,115,92,1793
180,12571.0,-2927.3196808869307,197,31,523
181,12572.0,-2470.2463425950177,293,53,450
182,12573.0,-372.1886111028383,84,26,84
183,12574.0,-250.763305714572,61,11,61
184,12576.0,-5141.190572927855,199,72,964
185,12577.0,-2514.183212257863,134,137,466
186,12578.0,-7684.764795646823,748,112,1171
187,12579.0,-1610.9594163765655,285,29,278
188,12580.0,-1302.400420333811,238,24,238
189,12581.0,-818.1061027624986,161,15,161
190,12582.0,-1503.7309126963387,141,21,300
191,12583.0,-29961.367861888535,449,115,5009
192,12584.0,-1666.3231023477922,84,44,354
193,12585.0,-8349.715344123766,872,77,1258
194,12586.0,-345.1863803448947,79,12,77
195,12587.0,-200.5231072689406,51,4,51
196,12588.0,-210.42547141826248,53,10,53
197,12589.0,-1572.5630754827241,83,29,306
198,12590.0,-35806.83535889871,4282,68,4279
199,12591.0,-1237.8908034016126,228,26,228
200,12592.0,-1446.0202203563836,165,11,290
201,12593.0,-881.3868304795142,100,14,206
202,12594.0,-9835.602865168821,145,50,1776
203,12596.0,-2620.109876855024,156,25,474
204,12597.0,-15135.779006910398,230,184,2187
205,12598.0,-11124.222884577113,316,84,1940
206,12599.0,-4797.695738580866,216,32,956
207,12600.0,-3472.284543852258,31,32,773
208,12601.0,-976.3098573178099,87,21,244
209,12602.0,-824.1906063076461,162,12,162
210,12603.0,-266.168517335019,64,3,64
211,12604.0,-940.2059041734722,137,15,201
212,12605.0,0.0,-4,3,-4
213,12607.0,-8734.938509492304,1228,101,0
214,12609.0,-3516.236513715079,223,57,648
215,12610.0,-5919.1930061669555,457,85,1028
216,12611.0,-5702.479378226864,846,65,846
217,12612.0,-1458.9062599854074,262,19,251
218,12613.0,-10371.708141139878,485,124,1596
219,12614.0,-329.13573386176114,76,20,76
